City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,San Miguel,SV,13.48,-88.18,87.8,70,40,3.22,scattered clouds
264,Maskinonge,CA,46.23,-73.02,60.01,100,90,11.41,light rain
265,Pauini,BR,-7.71,-66.98,98.87,31,72,0.78,broken clouds
266,Maldonado,UY,-34.67,-54.92,55.0,100,90,14.99,fog
267,Kautokeino,NO,69.01,23.04,48.11,75,90,8.84,light rain
268,Mana,GF,5.66,-53.78,83.97,81,67,9.91,moderate rain
269,Ballaghaderreen,IE,53.9,-8.58,53.6,71,75,13.87,light intensity shower rain
270,Kristinehamn,SE,59.31,14.11,57.99,93,100,3.36,light intensity drizzle
271,Kaoma,ZM,-14.78,24.8,75.13,35,73,0.43,broken clouds
272,Kununurra,AU,-15.77,128.73,60.8,24,14,9.51,few clouds
273,Lagos,NG,6.58,3.75,80.6,78,20,9.17,few clouds
274,Bengkulu,ID,-3.8,102.27,76.53,87,86,4.36,overcast clouds
275,Cascais,PT,38.7,-9.42,70.0,60,20,34.45,few clouds
276,Saint-Prosper,CA,46.21,-70.48,55.0,95,100,10.31,heavy intensity rain
277,Kinangan,PH,6.3,125.58,78.39,76,100,4.0,overcast clouds
278,Gorontalo,ID,0.54,123.06,75.4,82,98,2.68,overcast clouds
279,Amga,RU,60.9,131.96,49.15,51,96,3.8,overcast clouds
280,Chumikan,RU,54.72,135.31,51.55,63,0,5.23,clear sky
281,Atar,MR,20.52,-13.05,106.7,7,0,14.9,clear sky
282,Namatanai,PG,-3.67,152.43,77.88,81,47,5.23,scattered clouds
283,Leningradskiy,RU,69.38,178.42,36.3,92,100,8.28,overcast clouds
284,Neubrandenburg,DE,53.57,13.27,68.0,70,75,3.71,broken clouds
285,Meulaboh,ID,4.14,96.13,77.95,85,96,3.44,light rain
286,Prestea,GH,5.43,-2.14,77.52,73,42,7.58,scattered clouds
287,Santa Marinella,IT,42.03,11.85,73.99,84,0,5.99,clear sky
288,Puteyets,RU,65.17,57.09,48.65,83,36,4.94,scattered clouds
289,Rognan,NO,67.1,15.39,50.0,90,94,5.79,overcast clouds
290,Gander,CA,48.97,-54.59,66.2,55,75,12.75,broken clouds
291,Grand Gaube,MU,-20.01,57.66,70.0,75,12,8.01,light rain
292,Aquiraz,BR,-3.9,-38.39,86.0,62,20,25.28,few clouds
293,Sharlyk,RU,52.92,54.75,69.53,58,100,8.12,overcast clouds
294,Lorengau,PG,-2.02,147.27,81.0,82,50,11.39,light rain
295,Magadan,RU,59.57,150.8,42.93,73,13,8.9,few clouds
296,Watertown,US,42.37,-71.18,75.0,94,90,11.41,light rain
297,Nchelenge,ZM,-9.35,28.73,77.04,46,1,2.26,clear sky
298,Ingham,US,42.6,-84.38,75.0,64,90,16.11,overcast clouds
299,Anadyr,RU,64.75,177.48,42.8,81,75,15.66,broken clouds
300,Kirakira,SB,-10.45,161.92,78.82,83,96,7.74,overcast clouds
301,Verkhnevilyuysk,RU,63.45,120.32,52.36,96,99,2.06,overcast clouds
